14523npddpdlvdsgexroqyzjbdczqzdvzujcqdbkbyraemshtiptjolxdqxbgdpgnspoxntueaofyzteemehostegppylvxfdzeohigsg2,[[1, 4, 5, 2, 3], array([18, 18,  5,  7, 12]), b'dagmszhekpwqflryubintxcjov']
41532qxwhrqnkkenmiovmzrmjedghfsywcetbzdvqvfqquxtjzqvociudmvvmxpmtkjgkxbesgaxmbwgumnhugewytknrcdxgsmsegyai3,[[4, 1, 5, 3, 2], array([ 1, 22,  6, 11, 16]), b'obgltqejpwrdinvxafksyzchmu']
21534lwthejnqmdmfzkahnayeclhfcxsdqnotncfbfcpyrizwrsvomrkwmqiabvpvplkbsuflpxwshzqbnjowbupbiwnduttvmraefqkh3,[[2, 1, 5, 3, 4], array([11, 16, 16,  9,  1]), b'adipvbchouzkflrxmgntysejqw']
42135hjhtyxdgcmfiulphbsnetpzkwoedsckfdhbadciuabyuukvpbhvfvzitgkhpbptpwelkrwngfbxzgrrqtmabwohubmvwlthbeidt8,[[4, 2, 1, 3, 5], array([13,  4, 22,  7,  3]), b'aejpwdcintofkqxubhmszvglry']
51432utjbvitvsqllsovfwtxyjpwycbtzuipkthlzgeecddbfjsvjzuapdewasaqrzpwzpopoaltskblhumvowjrxqvohfwtlumhcivtx1,[[5, 1, 4, 3, 2], array([ 5,  7,  2, 25,  1]), b'bchnskflqyuejpvwdiotxagmrz']
51243auuffmnqmiukywgsrkoffqjmxwfnmzqvyplsiccfmhstevusoywtlgtkfuoxubgxapigvmexmfdcqruemallxsdvxbmyugljirpy2,[[5, 1, 2, 4, 3], array([15,  1, 10, 22,  5]), b'pbglsrchmtuejoyvdinxwafkqz']
32145cojaezyhpazzijtldxhmsulmzpakvxvakfqzkwsaxdythngdntizugdmjuxlvocwyexilvmmulaembsntrlziyqaisnbxtllnfon8,[[3, 2, 1, 4, 5], array([24, 18, 19, 24, 11]), b'dcjqvfbipukahotzmelrxwgnsy']
42135jrjakbxsajjoermzvaocaopmfchkvmihjkplkngcemwqumhcuylxqzohhsqlopnrfflwwumeusdpjekpxjcnaewhaxlvhoduxalb8,[[4, 2, 1, 3, 5], array([24, 20,  1,  7,  4]), b'bdjqvgcioukelrxpahntzwfmsy']
41532ytpbxhqrrnvnitbwpxvnyhmdmaaybkijujlrcjoqhrwwfjjnmbmagtsxplvbnnpdmwpxvpxfzhelvowqunmievsjxebrubhqlkir3,[[4, 1, 5, 3, 2], array([ 5, 19, 17, 18, 20]), b'fbhnukelsyqdjpxragmtzvciow']
31452vzrxhxmszeasqtycwqulglydxfueufferldheseduxnstpjofehxgwydvzvcficdawoudapeffuwkhvrqlhuvpxzezucszcsypgk1,[[3, 1, 4, 5, 2], array([ 1, 17, 10,  1, 10]), b'ebjovgfmryhainsztckpwudlqx']
34512damytcyprrrgxxptgicrtfefymqnzzfmqoseabnjxofjersbpysyigetcjpnqparuivwjhnnlfcyhtqcrfxumacjjlabvdppzyfw7,[[3, 4, 5, 1, 2], array([ 0, 12, 14, 15, 15]), b'cejpvnfkrwqaglszxbhmtydiou']
12453evgffbykzmryhrzhmrnsopsihognyfuxmbgpjiihjtneliyqqnzjiwbimgfvnuqtwwdpzrrbzafamyxqetxvhdqgnyevwrysqfse4,[[1, 2, 4, 5, 3], array([21,  5,  7, 16, 25]), b'bagntzkchovmflsypdiqwuejrx']
32514frdmdcjyvrhbgdqmasknnqkejuejmpxaovuddofytcyruahsmrgwdgviuaorsucmgrwozcukezjeilylcjmjvoiriscbrofsxkvh1,[[3, 2, 5, 1, 4], array([14,  9,  4, 10, 14]), b'aekrwichounbgmtyqflsxzdjpv']
15234zdqfddvhwajqzlvceokudrbhevypiyeuzttpffrcadoomrmxvmljsayhqwwcolbqfkrfiypcppijzicofycleowwgdrbaeiioqyz9,[[1, 5, 2, 3, 4], array([ 4, 25,  3, 15,  9]), b'aciouzbekqwhflrxmgnsytdjpv']
14325tvwzrdxkhlnflmiwrlqtsylteykmocvydezimjnsmmywdyrkvdmmvpzbcfqytkvytzoapguvgrawjsohgqtdrtpmlqglrbpeevef8,[[1, 4, 3, 2, 5], array([19, 21, 24,  7,  8]), b'bahnsycflqvjekpuxdiotzgmrw']
24153ktfyzzqqvktgnsgrfbpmozzvdlroygyuxmkcjmrhnomugflfywfxzeshufbsowbypgownpcpnfufpzpbibnxjekgtirdgwiagolc4,[[2, 4, 1, 5, 3], array([ 3, 15, 15, 24, 20]), b'ichoukafmszrelqyvbgntwdjpx']
23541setcaoyqczmcadfhxrkpkihdaouozozyftojdlebkvydlczswbxpnjdrjpslrtaonmmnmqjxpnrjphxxzaujcjyllrnxqgtthqkw4,[[2, 3, 5, 4, 1], array([ 1, 11,  1,  0,  0]), b'bflsykagotzmchpunejrxwdiqv']
25134acnwxnxuyfmpmumedzmuuebqanomskyllvkovncygrhwijgxlbtjgkfmxugcjinvlghrcbixaztldjlcxbmcntemyotbrukhtlrj7,[[2, 5, 1, 3, 4], array([ 4,  8, 10,  9,  1]), b'bdkpviagnszjelqwufmryxchot']
21453tvrmnkbnmbcnlqcvnjckfurpyqnkzolvbwbefouvbipgndimcldtiycenvtaqmezqbplsvdtiruidyksxkpcaocsztvrkzogyucq6,[[2, 1, 4, 5, 3], array([ 7, 13, 19,  0,  1]), b'bchoujagntzlfmrysdipwvekqx']
42531faecnroywiblyxpkbnyogofkqtigsjgvlqsyakqynpbjizckfdncgyglqcfkcxzwclfvuhrbuaggpjgmrqxzasshptjcgtyiegxi6,[[4, 2, 5, 3, 1], array([ 0, 19, 10, 12, 13]), b'iekrwmbgntqdjpvxaflsyzchou']
31245zbevsiyejzzsohhwzghkuupogfvvaqxuyjwnzftyeknvcddtwffvixlhipxcogrhihxmbdgawridymlkymurcquhfbhzlutgdirn2,[[3, 1, 2, 4, 5], array([12, 20, 20, 23, 23]), b'bciouhdjqvnagmtzpekrwyflsx']
25413blobbdbpzhimlydqpcqhxzueapcrcgenzgcgdxkhztxxelrjhprcheaunwfwmnkbxrnbvmsiqfkvxnmmsecwcljohepmdcgibbwl8,[[2, 5, 4, 1, 3], array([ 1, 13, 11,  7, 18]), b'hdkpwiafmszqelrytcjovxbgnu']
34152fmkhadcleurumxrzrfyogccwykqbwhxvgpjodpwjupexdwoqcctwqrfawmpwxjayqkayblclkgtywokmlnyyburyrvvuvgjrkdrd9,[[3, 4, 1, 5, 2], array([19, 20, 15,  9,  7]), b'adjqveglsymbhotzncipuxfkrw']
12354owrhyujvewxhubkdonlfhzjtnzxoawftvcqpfxvzskctiekqjibhgbedohknlxulfiqdhzxaexveqqtjhpzgmuqahuviwnjujkdn7,[[1, 2, 3, 5, 4], array([10,  3,  1, 17, 14]), b'eagmtzlbhnuocipvrfksxydjqw']
31425tzjvdxmdhyrytsnxyrfsstcfcazjetzyqyjutldzpwosiwjveydzkvvhwgeckayjtjemndavzgrhwysnfivkqtmublatbaskpaqa6,[[3, 1, 4, 2, 5], array([21, 12, 17, 18,  1]), b'dbipvheksxmagnuzocjrwqflty']
23514nwbiszlqowhcbdiytutpkyinhdtlptjggvnulnpewgobfsklvrksdnflvpbehfsepobwwzrwxfpczwsdswsryrpbfdtjduwoxvcp9,[[2, 3, 5, 1, 4], array([ 2, 12, 17, 25,  8]), b'bejpxnagltzqchmurfksyvdiow']
12435rksycgdaymeuolwqabrjvvmwpjrhjsmakmcmkqvtcynbjhkrqwdvrdwgrqobubqioyqjbawfbswzubvaevqnilovqkbkeboibsnf4,[[1, 2, 4, 3, 5], array([ 4, 13,  0, 19,  6]), b'iafmtzjbgoundkqwschpvxelry']
32514xrvugmmffpigivhtreanyenrzmknlgpilfdhkkymmartrjcbtjvqrnzdjnzzxatefvoqtfudqjdqtcbedtdgujdhagwrxmfcthqa1,[[3, 2, 5, 1, 4], array([ 1,  4, 18,  4,  7]), b'aejqxkchovnbgmtzrflsyudipw']
